ACIDE URIQUE | JUL-LAB-000 | service
HERPES (IgG, IgM) | JUL-LAB-048 | service
HbA1C (Hémoglobine glyquée) | JUL-LAB-066 | service
Helicidine - 250 ml | JUL-MED-ANT-0121 | physical
HÉPATITE A (IgM) | JUL-LAB-045 | service
HÉPATITE B (Ag HBS) | JUL-LAB-046 | service
HÉPATITE C (Ac Anti-HCV) | JUL-LAB-047 | service
IONOGRAMME COMPLET (sérum) | JUL-LAB-015 | service
IONOGRAMME COMPLET (urines) | JUL-LAB-016 | service
IONOGRAMME SIMPLE | JUL-LAB-017 | service
Incision + drainage Abcès | JUL-SVC-0026 | service
Incision d'Abcès complexe | JUL-SVC-0036 | service
Incision d'Abcès simple | JUL-SVC-0039 | service
Incision et drainage panaris | JUL-SVC-0014 | service
Infiltration corticoïdes | JUL-SVC-0016 | service
Infirmier | JUL-SVC-0001 | service
Injection simple | JUL-SVC-0029 | service
Kit de prélèvement | JUL-SVC-0043 | service
Kit prélèvement nasal | JUL-MED-MG-0025 | physical
Kystectomie/Lipomectomie S-C | JUL-SVC-0017 | service
LH | JUL-LAB-076 | service
Lactulose 10g/15ml - 20 sachets | JUL-MED-MG-0006 | physical
Lactulose 10g/15ml - 20 sachets | JUL-MED-MG-0008 | physical
Lactulose 10g/15ml - 20 sachets | JUL-MED-MG-0012 | physical
Laroxyl 40 mg/ml - Solution buvable | JUL-MED-MG-0017 | physical
Lavage des oreilles | JUL-SVC-0033 | service
Lavage nasal | JUL-SVC-0041 | service
Lavage plaies | JUL-SVC-0040 | service
Lavage yeux | JUL-SVC-0042 | service
Levothyrox - 90 comprimés sécables | JUL-MED-MG-0049 | physical
Locoïd 0,1% - Crème | JUL-MED-COR-0044 | physical
Locoïd 0,1% - Crème | JUL-MED-COR-0082 | physical
Lopéramide - 2mg - 20 comprimés | JUL-MED-ANT-0061 | physical
MAGNÉSIUM Mg++ (sérum) | JUL-LAB-018 | service
MAGNÉSIUM Mg++ (urines) | JUL-LAB-019 | service
Macrogol 4000 - 20 sachets | JUL-MED-LAX-0118 | physical
Macrogol 4000 - 24 sachets de 4g | JUL-MED-LAX-0035 | physical
Masque Blanc KN95 FFP2 - Lot de 5 | JUL-MED-MG-0023 | physical
Masque Bleu - Masque | JUL-MED-MG-0022 | physical
Meteospasmyl - 20 capsules | JUL-MED-ANT-0010 | physical
Mini-ciseaux | JUL-MED-MG-0024 | physical
Mono sept - 30 unidoses de 0,4 ml | JUL-MED-OPH-0063 | physical
Mycoplasme | JUL-LAB-081 | service
Médecin général | JUL-SVC-0002 | service
NFS (Numération Formule) | JUL-LAB-040 | service
Nebulisation | JUL-SVC-0012 | service
Nicopatch - 28 dispositifs de 21mg/24 | JUL-MED-MG-0014 | physical
Nicopatch - 28 dispositifs de 21mg/24 | JUL-MED-MG-0016 | physical
Observation (MEO) - Soins | JUL-SVC-0008 | service
Ongle incarné | JUL-SVC-0013 | service
PAL (Phosphatase Alcaline) | JUL-LAB-030 | service
PALUDISME + Quantification | JUL-LAB-041 | service
PHOSPHORE Ph (sérum) | JUL-LAB-020 | service
PHOSPHORE Ph (urines) | JUL-LAB-021 | service
POTASSIUM K+ (sérum) | JUL-LAB-022 | service
POTASSIUM K+ (urines) | JUL-LAB-023 | service
PROGESTÉRONE | JUL-LAB-073 | service
PROTÉINES | JUL-LAB-034 | service
PSA | JUL-LAB-068 | service
PUS + ATB | JUL-LAB-079 | service
Pansement complexe | JUL-SVC-0038 | service
Pansement simple | JUL-SVC-0020 | service
Paracetamol codéiné - 500 mg/30mg - 16 comprimés | JUL-MED-AE-0013 | physical
Paracetamol codéiné - 500 mg/30mg - 16 comprimés | JUL-MED-AE-0015 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0048 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0053 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0056 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0058 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0059 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0060 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0067 | physical
Paracétamol - 1 g - 8 comprimés | JUL-MED-AE-0073 | physical
Paracétamol - 1000 mg - 8 comprimés | JUL-MED-AE-0038 | physical
Paracétamol - 500 mg - 16 comprimés | JUL-MED-AE-0033 | physical
Paracétamol - 500 mg - 16 comprimés | JUL-MED-AE-0036 | physical
Paracétamol - 500 mg - 16 comprimés | JUL-MED-AE-0045 | physical
Paracétamol - 500 mg - 16 comprimés | JUL-MED-AE-0046 | physical
Paracétamol/codéine - 500 mg/30 mg - 16 comprimés | JUL-MED-AE-0084 | physical
Perfuseur | JUL-MED-MG-0029 | physical
Perfuseur 1 voie Luer Lock Gravity - Perfuseur | JUL-MED-AE-0137 | physical
Petite cheloïdectomie | JUL-SVC-0018 | service
Pilules contraceptives - 84 comprimés | JUL-MED-MG-0124 | physical
Poche à urine 1,5L stérile + Tube 90cm - Poche à urine Adulte | JUL-MED-AE-0109 | physical
Poche à urine pédiatrique - Poche à urine Enfants | JUL-MED-AE-0112 | physical
Ponction d'ascite | JUL-SVC-0011 | service
Ponction pleural | JUL-SVC-0010 | service
Pose de cathéter | JUL-SVC-0003 | service
Pose de sonde urinaire | JUL-SVC-0004 | service
Pot de prélèvement selles - Pot de prélèvement selles | JUL-MED-AE-0115 | physical
Pot de prélèvement urinaire - Pot de prélèvement urinaire | JUL-MED-AE-0114 | physical
Ruban périmètrique - Ruban périmètrique | JUL-MED-AE-0134 | physical
Ruban périmètrique IMC - Ruban périmètrique IMC | JUL-MED-AE-0135 | physical
RÉTICULOCYTES | JUL-LAB-042 | service
SELLES : KAOP | JUL-LAB-067 | service
SODIUM Na+ | JUL-LAB-024 | service
SPERMOCULTURE | JUL-LAB-064 | service
SPERMOGRAMME | JUL-LAB-065 | service
SYPHILIS (TPHA - VDRL) | JUL-LAB-050 | service
Sonde de Foley Latex a Ballonnet longueur 27 mm-CH10 - Sonde | JUL-MED-AE-0099 | physical
Sonde de Foley Latex a Ballonnet longueur 270 cm-CH06 3ML - Sonde | JUL-MED-AE-0107 | physical
Sonde de Foley Latex a Ballonnet longueur 270 cm-CH08 3-5ML - Sonde | JUL-MED-AE-0108 | physical
Sonde de Foley Latex a Ballonnet longueur 40 cm-CH12 - Sonde | JUL-MED-AE-0100 | physical
Sonde de Foley Latex a Ballonnet longueur 40 cm-CH14 - Sonde | JUL-MED-AE-0101 | physical
Sonde de Foley Latex a Ballonnet longueur 40 cm-CH16 - Sonde | JUL-MED-AE-0102 | physical
Sonde de Foley Latex a Ballonnet longueur 40 cm-CH18 - Sonde | JUL-MED-AE-0103 | physical
Sonde de Foley Latex a Ballonnet longueur 40 cm-CH20 - Sonde | JUL-MED-AE-0104 | physical
Sonde de Foley Latex a Ballonnet longueur 40 cm-CH22 - Sonde | JUL-MED-AE-0105 | physical
Sonde de Foley Latex a Ballonnet longueur 40 cm-CH24 - Sonde | JUL-MED-AE-0106 | physical
Spafon - 80mg - 10 comprimés | JUL-MED-AE-0020 | physical
Spafon - 80mg - 10 comprimés | JUL-MED-AE-0041 | physical
Spafon - 80mg - 30 comprimés | JUL-MED-AE-0019 | physical
Spafon - 80mg - 30 comprimés | JUL-MED-AE-0089 | physical
Sparadrap chirurgical 2,5 cm x 9,14 m - 1 rouleau avec dévidoir | JUL-MED-AE-0132 | physical
Sparadrap chirurgical 2,5 cm x 9,14 m - 12 rouleuax sans dévidoir | JUL-MED-AE-0133 | physical
Spasfon - 30 comprimés | JUL-MED-MG-0131 | physical
Suture +5 points/trois plans | JUL-SVC-0021 | service
Suture 1 à 3 points/un plan | JUL-SVC-0022 | service
Suture 3 à 5 points/deux plans | JUL-SVC-0023 | service
Syladrape - 38 x 45 cm | JUL-MED-MG-0027 | physical
Séringue | JUL-MED-MG-0028 | physical
Sérum Physiologique - Soins divers | JUL-MED-MG-0091 | physical
Sérum physiologique - Bouteille de 1 litre | JUL-MED-AE-0136 | physical
T3 | JUL-LAB-070 | service
T4 | JUL-LAB-071 | service
TAUX PROTHROMBINE (TP) | JUL-LAB-043 | service
TEST DE GROSSESSE | JUL-LAB-051 | service
TESTOSTÉRONE | JUL-LAB-074 | service
TOXOPLASMOSE | JUL-LAB-053 | service
TRANSAMINASES (SGOT/SGPT) | JUL-LAB-035 | service
TRIGLYCÉRIDES | JUL-LAB-036 | service
TSH | JUL-LAB-069 | service
Tardyferon - 50 mg - 30 comprimés pelliculés | JUL-MED-SF-0070 | physical
Tardyferon - 50 mg - 30 comprimés pelliculés | JUL-MED-SF-0071 | physical
Tardyferon - 50 mg - 30 comprimés pelliculés | JUL-MED-SF-0078 | physical
Tardyferon - 80 mg - 30 comprimés pelliculés | JUL-MED-SF-0077 | physical
Tardyferon 80mg - 90 comprimés | JUL-MED-SF-0122 | physical
Tixocortol - Suspension nasal 1% | JUL-MED-DN-0018 | physical
Tixocortol - Suspension nasal 1% | JUL-MED-DN-0047 | physical
Tixocortol - Suspension nasal 1% | JUL-MED-DN-0051 | physical
Tixocortol - Suspension nasal 1% | JUL-MED-DN-0068 | physical
URÉE | JUL-LAB-037 | service
Urgo Compresses stériles - 50 sachets de 2 compresses | JUL-MED-AE-0119 | physical
VIH 1 & VIH 2 | JUL-LAB-052 | service
VITESSE DE SÉDIMENTATION | JUL-LAB-038 | service
ÉLECTROPHORÈSE HÉMOGLOBINE | JUL-LAB-025 | service
ÉLECTROPHORÈSE PROTÉINES | JUL-LAB-026 | service
Ésoméprazole - 20 mg - 28 gélules gastrorésitantes | JUL-MED-MG-0117 | physical
ŒSTROGÈNE | JUL-LAB-072 | service
